ID,1stChoice,2nd Choice,3rd Choice,4th Choice,5th Choice ,6th Choice,7th Choice,8th Choice,9th Choice,10th Choice,11th Choice,12th Choice,13th Choice,14th Choice,15th Choice,16th Choice,17th Choice,18th Choice
000101-00-0104,C18,C12,,,,,,,,,,,,,,,,
000101-00-0107,C05,C16,C17,C04,C12,,,,,,,,,,,,,
000101-00-0109,C04,C18,C05,C17,,,,,,,,,,,,,,
000101-00-0110,C04,C16,C03,C18,C17,C05,C14,,,,,,,,,,,
000101-00-0113,C17,C18,C05,C12,,,,,,,,,,,,,,
000101-00-0114,C17,C18,C05,,,,,,,,,,,,,,,
000101-00-0116,C03,C04,,,,,,,,,,,,,,,,
000101-00-0119,C05,C14,C16,C03,C18,C17,C13,C12,,,,,,,,,,
000101-00-0120,C16,C17,,,,,,,,,,,,,,,,
000101-00-0121,C18,,,,,,,,,,,,,,,,,
000101-00-0123,C18,,,,,,,,,,,,,,,,,
000101-00-0126,C17,C05,C18,C12,C14,C13,C16,C04,C03,,,,,,,,,
000101-00-0129,C10,C01,C13,C04,C06,C07,C08,C09,C11,C12,C14,C16,C18,C17,,,,
000101-00-0130,C04,C12,C18,,,,,,,,,,,,,,,
000101-00-0132,C18,C17,C13,C12,C05,,,,,,,,,,,,,
000101-00-0135,C09,C07,C01,C18,C02,,,,,,,,,,,,,
000101-00-0136,C04,C12,C18,,,,,,,,,,,,,,,
000101-00-0140,C12,C05,C17,C18,,,,,,,,,,,,,,
000101-00-0141,C18,C05,C12,C17,C07,,,,,,,,,,,,,
000101-00-0142,C18,C17,C10,,,,,,,,,,,,,,,
000101-00-0144,C12,C17,C18,C16,,,,,,,,,,,,,,
000101-00-0147,C05,C18,C04,C03,C17,C14,C13,C16,C12,,,,,,,,,
000101-00-0148,C03,C12,C04,C06,,,,,,,,,,,,,,
000101-00-0150,C05,C04,C03,C18,C12,C13,C16,,,,,,,,,,,
000101-00-0152,C12,C18,C05,,,,,,,,,,,,,,,
000101-00-0154,C18,C11,C12,C17,C05,C16,C01,C15,,,,,,,,,,
000101-00-0157,C18,,,,,,,,,,,,,,,,,
000101-00-0158,C18,,,,,,,,,,,,,,,,,
000101-00-0160,C18,C17,C12,,,,,,,,,,,,,,,
000101-00-0162,C18,C05,C12,C17,,,,,,,,,,,,,,
000101-00-0164,C17,C18,C05,C12,C14,C13,C04,C03,C16,,,,,,,,,
000101-00-0167,C18,C06,C03,C04,C14,,,,,,,,,,,,,
000101-00-0168,C18,,,,,,,,,,,,,,,,,
000101-00-0170,C17,C01,C12,C18,C10,C09,C08,C07,C06,C02,C15,C11,C13,C14,C16,C03,C04,C05
000101-00-0172,C03,C16,C13,C12,C15,C17,C05,C02,C14,,,,,,,,,
000101-00-0175,C17,,,,,,,,,,,,,,,,,
000101-00-0176,C17,,,,,,,,,,,,,,,,,
000101-00-0178,C10,C09,C08,C06,C15,C11,C02,,,,,,,,,,,
000101-00-0181,C18,C17,C12,C05,C14,,,,,,,,,,,,,
000101-00-0182,C03,C04,C05,C12,C13,C17,,,,,,,,,,,,
000101-00-0185,C18,C12,,,,,,,,,,,,,,,,
000101-00-0186,C18,,,,,,,,,,,,,,,,,
000101-00-0188,C18,,,,,,,,,,,,,,,,,
000101-00-0190,C12,C17,C03,,,,,,,,,,,,,,,
000101-00-0193,C17,,,,,,,,,,,,,,,,,
000101-00-0195,C18,C17,C16,C14,C12,C13,C04,C03,C02,,,,,,,,,
000101-00-0197,C12,C07,C03,C09,C18,C17,C16,C14,C04,C05,,,,,,,,
000101-00-0199,C18,C17,C05,C12,C16,C13,C02,C03=C14,,,,,,,,,,
000101-00-0202,C17,C01,C12,,,,,,,,,,,,,,,
000101-00-0204,C17,C01,,,,,,,,,,,,,,,,
000101-00-0205,C18,C17,C14,C05,C16,C03,C04,C06,,,,,,,,,,
000101-00-0207,C18,C17,C10,C07,C13,,,,,,,,,,,,,
000101-00-0210,C18,C17,C05,C13,C01,,,,,,,,,,,,,
000101-00-0212,C18,,,,,,,,,,,,,,,,,
000101-00-0214,C18,,,,,,,,,,,,,,,,,
000101-00-0215,C18,C12,C17,,,,,,,,,,,,,,,
000101-00-0217,C12,,,,,,,,,,,,,,,,,
000101-00-0219,C12,C04,C17,,,,,,,,,,,,,,,
000101-00-0220,C07,C09,C10,C18,C02,C12,C08,,,,,,,,,,,
000101-00-0224,C18,C17,C05,C04,C12,,,,,,,,,,,,,
000101-00-0226,C05,C12,C15,C10,C17,,,,,,,,,,,,,
000101-00-0227,C18,C12,,,,,,,,,,,,,,,,
000101-00-0229,C03,C05,C10,C18,,,,,,,,,,,,,,
000101-00-0230,C18,,,,,,,,,,,,,,,,,
000101-00-0232,C18,C17,C12,,,,,,,,,,,,,,,
000101-00-0234,C18,C17,C13,,,,,,,,,,,,,,,
000101-00-0237,C18,C14,C17,,,,,,,,,,,,,,,
000101-00-0238,C18,C17,C14,C15,C05,C04,C12,C16,,,,,,,,,,
000101-00-0241,C18,C17,,,,,,,,,,,,,,,,
000101-00-0243,C18,C17,,,,,,,,,,,,,,,,
000101-00-0245,C18,C17,,,,,,,,,,,,,,,,
000101-00-0246,C18,,,,,,,,,,,,,,,,,
000101-00-0248,C18,C17,C13,C12,C11,C15,,,,,,,,,,,,
000101-00-0250,C18,C17,C12,C03,,,,,,,,,,,,,,
000101-00-0252,C18,,,,,,,,,,,,,,,,,
000101-00-0255,C18,C17,,,,,,,,,,,,,,,,
000101-00-0257,C18,C05,C17,C12,,,,,,,,,,,,,,
000101-00-0259,C18,C05,C17,C12,,,,,,,,,,,,,,
000101-00-0260,C04,C03,C16,C14,C18,,,,,,,,,,,,,
000101-00-0263,C05,C01,C18,,,,,,,,,,,,,,,
000101-00-0265,C18,C05,C17,,,,,,,,,,,,,,,
000101-00-0267,C07,C18,,,,,,,,,,,,,,,,
000101-00-0269,C18,C17,C14,C12,C05,C13,,,,,,,,,,,,
000101-00-0271,C17,C18,C14,C12,C04,,,,,,,,,,,,,
000101-00-0272,C18,C05,,,,,,,,,,,,,,,,
000101-00-0274,C18,C04,,,,,,,,,,,,,,,,
000101-00-0278,C18,C05,,,,,,,,,,,,,,,,
000101-00-0280,C18,C17,C05,C14,,,,,,,,,,,,,,
000101-00-0282,C13,C18,C04,C03,,,,,,,,,,,,,,
000101-00-0283,C17,C18,C05,C12,,,,,,,,,,,,,,
000101-00-0286,C05,,,,,,,,,,,,,,,,,
000101-00-0287,C18,C17,C05,C12,,,,,,,,,,,,,,
000101-00-0289,C18,C05,C17,,,,,,,,,,,,,,,
000101-00-0292,C18,C17,C05,C12,,,,,,,,,,,,,,
000101-00-0293,C03,C04,C18,,,,,,,,,,,,,,,
000101-00-0296,C07,,,,,,,,,,,,,,,,,
000101-00-0297,C18,,,,,,,,,,,,,,,,,
000101-00-0300,C18,C05,C17,,,,,,,,,,,,,,,
000101-00-0302,C17,C05,C04,,,,,,,,,,,,,,,
000101-00-0304,C05,C18,,,,,,,,,,,,,,,,
000101-00-0306,C16,,,,,,,,,,,,,,,,,
000101-00-0307,C18,C05,,,,,,,,,,,,,,,,
000101-00-0310,C10,C07,C09,C02,C05,C14,C17,C16,C12,C13,,,,,,,,
000101-00-0312,C17,C18,C05=C14,C12,,,,,,,,,,,,,,
000101-00-0314,C18,C17,,,,,,,,,,,,,,,,
000101-00-0315,C03,C16,C04,C15,,,,,,,,,,,,,,
000101-00-0318,C06,C05,C13,C07,C17,C03,C14,C01,C16,C08,C04,C15,C10,C18,C11,C09,C12,C02
000101-00-0320,C18,C05,C03,C10,,,,,,,,,,,,,,
000101-00-0321,C18,C17,C12,C05,C14,,,,,,,,,,,,,
000101-00-0324,C18,C10,C05,C17,,,,,,,,,,,,,,
000101-00-0327,C18,C16,C17,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15
000101-00-0328,C18,C05,C13,C04,C02,C09,C17,,,,,,,,,,,
000101-00-0330,C17,C18,C05,C12,C13,,,,,,,,,,,,,
000101-00-0331,C18,C12,C17,C04,,,,,,,,,,,,,,
000101-00-0335,C04,C18,C05,,,,,,,,,,,,,,,
000101-00-0336,C06,C10,C15,C07,C01,C04,C13,C12,C16,,,,,,,,,
000101-00-0338,C18,C05,C17,,,,,,,,,,,,,,,
000101-00-0339,C05,,,,,,,,,,,,,,,,,
000101-00-0341,C18,,,,,,,,,,,,,,,,,
000101-00-0343,C12,C17,C18,C05,C10,C11,C01,C06,,,,,,,,,,
000101-00-0345,C18,C05,C17,,,,,,,,,,,,,,,
000101-00-0348,C18,C05,C12,C17,C16,C01,C11,C15,C10,,,,,,,,,
000101-00-0349,C18,C05,C12,C17,C16,C01,C11,C15,C10,,,,,,,,,
000101-00-0350,C10,C06,C14,C15,C04,C16,C17,C03,,,,,,,,,,
000101-00-0352,C18,C05,C06,C17,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C01,C02,C03,C04
000101-00-0356,C18,,,,,,,,,,,,,,,,,
000101-00-0357,C17,C09,C12,,,,,,,,,,,,,,,
000101-00-0359,C17,C12,C05,,,,,,,,,,,,,,,
000101-00-0362,C18,C16,C03,,,,,,,,,,,,,,,
000101-00-0364,C06,C10,C13,C15,C03,C04,C16,C14,C12,,,,,,,,,
000101-00-0367,C15,C01,C11,C10,C06,C07,C08,C09,,,,,,,,,,
000101-00-0368,C14,C17,C05,C08,C12,,,,,,,,,,,,,
000101-00-0370,C07,C09,C08,C10,C11,C01,C02,C06,C05,C16,,,,,,,,
000101-00-0371,C18,C17,C05,,,,,,,,,,,,,,,
000101-00-0373,C18,C05,C17,,,,,,,,,,,,,,,
000101-00-0375,C15,C03,C04,,,,,,,,,,,,,,,
000101-00-0377,C18,,,,,,,,,,,,,,,,,
000101-00-0379,C18,C05,C17,C14,C04,,,,,,,,,,,,,
000101-00-0381,C03,C04,C17,,,,,,,,,,,,,,,
000101-00-0383,C17,C18,C12,C03,C13,C16,C05,C04,C14,,,,,,,,,
000101-00-0385,C17,,,,,,,,,,,,,,,,,
000101-00-0387,C18,C17,C16,C05,C12,C13,,,,,,,,,,,,
000101-00-0388,C12,C18,,,,,,,,,,,,,,,,
000101-00-0391,C12,C18,,,,,,,,,,,,,,,,
000101-00-0392,C18,,,,,,,,,,,,,,,,,
000101-00-0394,C18,C04,C17,,,,,,,,,,,,,,,
000101-00-0396,C04,C12,C06,,,,,,,,,,,,,,,
000101-00-0398,C18,C17,C05,,,,,,,,,,,,,,,
000101-00-0401,C18,,,,,,,,,,,,,,,,,
000101-00-0403,C17,C18,C05,,,,,,,,,,,,,,,
000101-00-0405,C05,C12,C18,C17,,,,,,,,,,,,,,
000101-00-0407,C18,C17,C14,,,,,,,,,,,,,,,
000101-00-0409,C18,C16,,,,,,,,,,,,,,,,
000101-00-0411,C18,C13,C06,,,,,,,,,,,,,,,
000101-00-0413,C18,C17,,,,,,,,,,,,,,,,
000101-00-0415,C03,C12,C04,,,,,,,,,,,,,,,
000101-00-0416,C17,,,,,,,,,,,,,,,,,
000101-00-0417,C12,C03,C04,,,,,,,,,,,,,,,
000101-00-0420,C05,,,,,,,,,,,,,,,,,
000101-00-0422,C17,C12,,,,,,,,,,,,,,,,
000101-00-0424,C17,C18,,,,,,,,,,,,,,,,
000101-00-0426,C18,C05,C17,,,,,,,,,,,,,,,
000101-00-0429,C18,C12,C17,C05,,,,,,,,,,,,,,
000101-00-0431,C18,C05,C16,C12,C17,,,,,,,,,,,,,
000101-00-0432,C12,C17,,,,,,,,,,,,,,,,
000101-00-0435,C18,C05,C12,C17,,,,,,,,,,,,,,
000101-00-0436,C18,C05,C17,,,,,,,,,,,,,,,
000101-00-0439,C10,C07,C06,C01,C02,C09,C08,C15,C14,C13,C12,C11,C05,C04,C17,C16,,
000101-00-0440,C07,C01,C02,C15,,,,,,,,,,,,,,
000101-00-0443,C14,C18,C03,,,,,,,,,,,,,,,
000101-00-0446,C04,C18,C05,C17,,,,,,,,,,,,,,
000101-00-0448,C18,C04,C11,,,,,,,,,,,,,,,
000101-00-0450,C09,C10,C11,C17,C16,,,,,,,,,,,,,
000101-00-0452,C02,C07,C15,,,,,,,,,,,,,,,
000101-00-0453,C12,C17,C13,C03,,,,,,,,,,,,,,
000101-00-0455,C12,C18,C17,C05,,,,,,,,,,,,,,
000101-00-0458,C12,C15,,,,,,,,,,,,,,,,
000101-00-0460,C05,C17,C18,,,,,,,,,,,,,,,
000101-00-0462,C18,C17,C05,C14,C12,,,,,,,,,,,,,
000101-00-0464,C18,C17,C05,C13,C12,,,,,,,,,,,,,
000101-00-0466,C09,C10,C11,C08,C07,C06,C15,C02,C01,,,,,,,,,
000101-00-0468,C17,C18,C14,C13,C12,C04,,,,,,,,,,,,
000101-00-0469,C18,C17,C05,,,,,,,,,,,,,,,
000101-00-0471,C05,C18,,,,,,,,,,,,,,,,
000101-00-0474,C16,C18,C03,C07,C04,C14,,,,,,,,,,,,
000101-00-0476,C17,C18,C05,C14,,,,,,,,,,,,,,
000101-00-0477,C16,C14,C03,C04,C06,C17,,,,,,,,,,,,
000101-00-0479,C18,C17,C05,,,,,,,,,,,,,,,
000101-00-0482,C18,,,,,,,,,,,,,,,,,
000101-00-0484,C18,C12,C17,C05,,,,,,,,,,,,,,
000101-00-0485,C03,C04,,,,,,,,,,,,,,,,
000101-00-0488,C18,C17,C05,,,,,,,,,,,,,,,
000101-00-0490,C14,C04,C09,C07,C06,C12,C13,C11,C18,C03,,,,,,,,
000101-00-0492,C18,C05,C17,C04,C12,C16,C15,C14,C07,,,,,,,,,
000101-00-0493,C13,C15,C10,,,,,,,,,,,,,,,
000101-00-0496,C04,C17=C18,,,,,,,,,,,,,,,,
000101-00-0497,C18,C17,C04,C05,,,,,,,,,,,,,,
000101-00-0500,C04,C03,C16,C14,C05,,,,,,,,,,,,,
000101-00-0501,C04,C03,C05,C16,C14,,,,,,,,,,,,,
000101-00-0504,C18,C04,C16,C03,C05,C06,C07,C10,C02,C08,C09,,,,,,,
000101-00-0505,C04,C03,C10,C14,C18,C17,,,,,,,,,,,,
000101-00-0508,C18,C05,C14,C17,C12,,,,,,,,,,,,,
000101-00-0509,C04,C16,C17,C18,C12,C05,,,,,,,,,,,,
000101-00-0511,C18,C17,,,,,,,,,,,,,,,,
000101-00-0513,C18,C17,C14,C12,C05,C16,,,,,,,,,,,,
000101-00-0515,C18,C03,C14,,,,,,,,,,,,,,,
000101-00-0516,C03,C04,C18,C16,C14,,,,,,,,,,,,,
000101-00-0519,C03,C16,,,,,,,,,,,,,,,,
000101-00-0520,C05,C17,C18,C14,,,,,,,,,,,,,,
000101-00-0522,C07,C09,C12,C05,,,,,,,,,,,,,,
000101-00-0525,C03,C17,C15,C06,C07,C08,,,,,,,,,,,,
000101-00-0527,C18,,,,,,,,,,,,,,,,,
000101-00-0528,C17,C05,C18,C16,C13,C12,C04,C03,,,,,,,,,,
000101-00-0530,C18,,,,,,,,,,,,,,,,,
000101-00-0532,C18,,,,,,,,,,,,,,,,,
000101-00-0534,C18,C17,C03,,,,,,,,,,,,,,,
000101-00-0536,C18,C05,C04,C03,,,,,,,,,,,,,,
000101-00-0538,C10,C06,C01,C07,C15,,,,,,,,,,,,,
000101-00-0541,C17,C18,C05,C04,C03,C12,C13,C16,C14,,,,,,,,,
000101-00-0543,C18,C17,C04,C03,C16,C05,,,,,,,,,,,,
000101-00-0544,C18,,,,,,,,,,,,,,,,,
000101-00-0546,C18,C05,C12,,,,,,,,,,,,,,,
000101-00-0549,C10,C15,C16,C07,,,,,,,,,,,,,,
000101-00-0550,C17,C18,C05,C12,C13,C14,C03,C04,C16,,,,,,,,,
000101-00-0552,C18,C03,C05,C13,C14,C17,,,,,,,,,,,,
000101-00-0554,C18,C05,C17,C04,C12,C13,,,,,,,,,,,,
000101-00-0556,C18,C17,,,,,,,,,,,,,,,,
000101-00-0559,C18,C17,C14,C05,C12,C16,C03,,,,,,,,,,,
000101-00-0560,C18,C17,C14,C06,,,,,,,,,,,,,,
000101-00-0562,C15,C13,C16,C10,C04,C18,,,,,,,,,,,,
000101-00-0564,C18,C17,C14,C05,,,,,,,,,,,,,,
000101-00-0566,C05,C18,C04,C01,C13,C14,C12,,,,,,,,,,,
000101-00-0568,C18,C17,C03,C05,C14,C12,C07,C08,,,,,,,,,,
000101-00-0570,C10,C15,C07,C16,,,,,,,,,,,,,,
000101-00-0572,C18,,,,,,,,,,,,,,,,,
000101-00-0574,C12,C18,,,,,,,,,,,,,,,,
000101-00-0576,C05,C12,C18,,,,,,,,,,,,,,,
000101-00-0578,C17,C03,C05,,,,,,,,,,,,,,,
000101-00-0580,C17,C18,C05,,,,,,,,,,,,,,,
000101-00-0581,C10,C14,C15,C16,C02,,,,,,,,,,,,,
000101-00-0583,C03,C04,C06,C13,,,,,,,,,,,,,,
000101-00-0586,C05,C18,,,,,,,,,,,,,,,,
000101-00-0587,C03,C04,C13,C06,C14,,,,,,,,,,,,,
000101-00-0590,C17,C18,C03,C05,C04,C12,C13,C14,C16,C01,C02,C06,C15,C07,C08,C09,C10,C11
000101-00-0591,C12,C04,C18,C17,C14,C05,,,,,,,,,,,,
000101-00-0594,C03,C04,C06,C10,C13,C15,C16,C18,,,,,,,,,,
000101-00-0597,C18,C06,C17,C14,C04,C03,C12,C16,,,,,,,,,,
000101-00-0598,C18,C03,C04,C16,,,,,,,,,,,,,,
000101-00-0600,C18,C17,C12,C05,C14,C16,C13,C03,C04,,,,,,,,,
000101-00-0601,C15,C18,C16,C04,C03,,,,,,,,,,,,,
000101-00-0603,C18,C05,,,,,,,,,,,,,,,,
000101-00-0605,C17,C12,C18,C14,C05,C16,C03,C08,C04,,,,,,,,,
000101-00-0607,C04,C03,C16,C14,C05,,,,,,,,,,,,,
000101-00-0610,C18,C17,C05,,,,,,,,,,,,,,,
000101-00-0612,C18,C05,,,,,,,,,,,,,,,,
000101-00-0614,C18,,,,,,,,,,,,,,,,,
000101-00-0615,C18,C16,C17,C01,C02,C03,C04,C05,C12,C13,C14,,,,,,,
000101-00-0618,C12,C18,C13,,,,,,,,,,,,,,,
000101-00-0620,C18,C17,C16,C15,C14,C01,C02,C03,C05,C06,C07,C08,C09,C10,C11,C12,C13,
000101-00-0622,C10,C15,C06,,,,,,,,,,,,,,,
000101-00-0623,C18,,,,,,,,,,,,,,,,,
000101-00-0625,C18,,,,,,,,,,,,,,,,,
000101-00-0628,C03,C18,,,,,,,,,,,,,,,,
000101-00-0629,C03,C04,C18,C14,,,,,,,,,,,,,,
000101-00-0631,C18,C17,C16,C15,C14,C13,C12,C11,C10,C09,C08,C07,C01,C02,C03,C04,C05,C06
000101-00-0633,C18,C17,C05,,,,,,,,,,,,,,,
000101-00-0636,C10,C15,C16,C13,C14,C03,C06,,,,,,,,,,,
000101-00-0638,C06,C10,C15,C13,C11,C05,,,,,,,,,,,,
000101-00-0639,C06,C18,,,,,,,,,,,,,,,,
000101-00-0642,C13,C12,C04,C05,C17,C14,,,,,,,,,,,,
000101-00-0645,C15,,,,,,,,,,,,,,,,,
000101-00-0646,C17,C18,C03,C05,C12,C13,,,,,,,,,,,,
000101-00-0648,C18,C17,,,,,,,,,,,,,,,,
000101-00-0651,C17,,,,,,,,,,,,,,,,,
000101-00-0653,C17,,,,,,,,,,,,,,,,,
000101-00-0655,C18,,,,,,,,,,,,,,,,,
000101-00-0656,C18,C05,C17,,,,,,,,,,,,,,,
000101-00-0658,C07,C18,,,,,,,,,,,,,,,,
000101-00-0659,C18,C17,,,,,,,,,,,,,,,,
000101-00-0661,C18,C05,C14,,,,,,,,,,,,,,,
000101-00-0663,C18,C17,C13,,,,,,,,,,,,,,,
000101-00-0665,C18,C17,C12,,,,,,,,,,,,,,,
000101-00-0668,C18,C05,C17,C12,,,,,,,,,,,,,,
000101-00-0670,C18,C17,C04,C12,C13,C14,,,,,,,,,,,,
000101-00-0671,C17,C18,C05,C04,C12,,,,,,,,,,,,,
000101-00-0674,C03,C18,C15,,,,,,,,,,,,,,,
000101-00-0676,C18,C05,C12,C16,C14,C13,C17,C03,C04,,,,,,,,,
000101-00-0677,C16,C03,C15,C14,C18,C10,C06,C04,C13,C12,C05,C17,,,,,,
000101-00-0679,C18,C05,C17,,,,,,,,,,,,,,,
000101-00-0682,C14,C05,C13,C18,C17,C03,C04,C16,C12,C11,C15,C01,C06,C07,C08,C09,C10,
000101-00-0684,C17,C05,C14,C09,C13,C01,C02,C06,,,,,,,,,,
000101-00-0686,C13,C15,C09,C03,C05,C17,C10,C11,C01,,,,,,,,,
000101-00-0687,C17,C12,C18,C04,,,,,,,,,,,,,,
000101-00-0690,C05,C18,C17,,,,,,,,,,,,,,,
000101-00-0691,C17,C16,C12,C18,,,,,,,,,,,,,,
000101-00-0694,C17,C12,C18,C05,,,,,,,,,,,,,,
000101-00-0696,C12,C18,C16,,,,,,,,,,,,,,,
000101-00-0698,C18,C17,C12,,,,,,,,,,,,,,,
000101-00-0699,C16,C03,C04,C15,,,,,,,,,,,,,,
000101-00-0701,C18,C05,C17,C01,C02,C09,C13,C08,C07,,,,,,,,,
000101-00-0704,C05,C18,C17,,,,,,,,,,,,,,,
000101-00-0706,C15,C10,C03,C06,C04,C14,C16,,,,,,,,,,,
000101-00-0709,C10,C18,C03,C13,C14,C17,C05,,,,,,,,,,,
000101-00-0710,C18,C17,C13,C14,C15,C16,C01,C02,C03,C04,C05,C06,C07,C08,C09,C11,C12,
000101-00-0712,C07,,,,,,,,,,,,,,,,,
000101-00-0713,C14,C16,C12,C17,C18,C03,C05,C04,C13,C06,C08,C15,C07,C01,C02,,,
000101-00-0715,C18,C17,C05,C12,C14,C03,C07,,,,,,,,,,,
000101-00-0718,C18,C09,,,,,,,,,,,,,,,,
000101-00-0719,C18,C17,C05,C07,,,,,,,,,,,,,,
000101-00-0722,C18,C12,C05,C17,,,,,,,,,,,,,,
000101-00-0723,C10,C04,C15,C03,C06,C16,,,,,,,,,,,,
000101-00-0725,C18,C16,C14,C03,,,,,,,,,,,,,,
000101-00-0729,C18,C14,,,,,,,,,,,,,,,,
000101-00-0731,C05,C18,C17,,,,,,,,,,,,,,,
000101-00-0732,C18,C01,C02,C03,C04,C05,C06,C07,C08,C14,C16,C17,C13,C12,C10,C09,,
000101-00-0733,C12,C05,C17,C18,C16,C04,,,,,,,,,,,,
000101-00-0735,C18,C12,,,,,,,,,,,,,,,,
000101-00-0738,C18,C04,C12,,,,,,,,,,,,,,,
000101-00-0740,C09,C07,C12,,,,,,,,,,,,,,,
000101-00-0741,C13,C05,C14,C04,C12,C15,C18,C03,C16,,,,,,,,,
000101-00-0743,C18,C17,C15,C04,C09,,,,,,,,,,,,,
000101-00-0745,C18,C04,C05,C12,C16,C13,C17,,,,,,,,,,,
000101-00-0747,C18,C05,C12,,,,,,,,,,,,,,,
000101-00-0750,C04,,,,,,,,,,,,,,,,,
000101-00-0752,C15,C10,C14,C05,C12,C13,C16,C17,C18,C03,C04,,,,,,,
000101-00-0753,C18,C05,C12,C17,C14,C03,C13,,,,,,,,,,,
000101-00-0755,C14,C06,C18,C16,C03,C04,,,,,,,,,,,,
000101-00-0758,C15,C13,C14,C06,C16,C18,C03,,,,,,,,,,,
000101-00-0760,C18,C05,,,,,,,,,,,,,,,,
000101-00-0761,C03,C16,C13,C10,C18,C04,C07,C05,C06,,,,,,,,,
000101-00-0763,C18,,,,,,,,,,,,,,,,,
000101-00-0765,C03,C14,,,,,,,,,,,,,,,,
000101-00-0767,C14,C16,C02,C04,C08,C18,C03,C05,C06,C17,C12,C07,C09,C10,C11,C13,C15,C01
000101-00-0770,C10,C15,C14,,,,,,,,,,,,,,,
000101-00-0772,C18,C12,C17,,,,,,,,,,,,,,,
