rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12
"Weinstein, David J.","Bowman, Manikka L.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,"Bowman, Manikka L.",skipped,"Crutchfield, Jake W.",skipped,"Kadete, Elechi M.",skipped,skipped,skipped,skipped
"Kimbrough, Laurance V.","Dexter, Emily R.","Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Bowman, Manikka L.","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Kimbrough, Laurance V.","Kadete, Elechi M.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Dexter, Emily R.","Crutchfield, Jake W.","Kadete, Elechi M.","MacArthur, William","Weinstein, David J.","Mitros, Piotr Flawiusz",skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Bowman, Manikka L.","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Kelly, Kathleen M.","Bowman, Manikka L.","Cronin, Fran A.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Cronin, Fran A.","Nolan, Patricia M.","Kelly, Kathleen M.","Fantini, Alfred B.","Dexter, Emily R.","Bowman, Manikka L.","Weinstein, David J.","Crutchfield, Jake W.","Kadete, Elechi M.","Kimbrough, Laurance V.","MacArthur, William","Mitros, Piotr Flawiusz"
"Nolan, Patricia M.","Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kelly, Kathleen M.","Bowman, Manikka L.","Fantini, Alfred B.","Cronin, Fran A.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"MacArthur, William","Cronin, Fran A.","Nolan, Patricia M.","Crutchfield, Jake W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Fantini, Alfred B.","Kelly, Kathleen M.","Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Cronin, Fran A.","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kelly, Kathleen M.","Nolan, Patricia M.","Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kelly, Kathleen M.","Nolan, Patricia M.","Dexter, Emily R.","Bowman, Manikka L.","Kadete, Elechi M.","Weinstein, David J.","Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped
"Mitros, Piotr Flawiusz","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Mitros, Piotr Flawiusz",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"MacArthur, William","Crutchfield, Jake W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Weinstein, David J.","Dexter, Emily R.","Fantini, Alfred B.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Kelly, Kathleen M.","Dexter, Emily R.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Cronin, Fran A.","Dexter, Emily R.","Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Kelly, Kathleen M.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Crutchfield, Jake W.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Cronin, Fran A.","Fantini, Alfred B.","Weinstein, David J.","Bowman, Manikka L.","Kelly, Kathleen M.","Crutchfield, Jake W.",skipped,skipped,skipped,skipped,skipped,skipped
"Kelly, Kathleen M.","Cronin, Fran A.","Fantini, Alfred B.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Dexter, Emily R.","Weinstein, David J.","Mitros, Piotr Flawiusz","Crutchfield, Jake W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Manikka L.","Kelly, Kathleen M.","Nolan, Patricia M.","Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Nolan, Patricia M.","MacArthur, William",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Weinstein, David J.","Kadete, Elechi M.","Fantini, Alfred B.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Crutchfield, Jake W.","Fantini, Alfred B.","Bowman, Manikka L.","Cronin, Fran A.","Kadete, Elechi M.","MacArthur, William","Mitros, Piotr Flawiusz","Weinstein, David J.",skipped,skipped,skipped,skipped
"Dexter, Emily R.","Nolan, Patricia M.","MacArthur, William","Bowman, Manikka L.","Cronin, Fran A.","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped,skipped
"Kimbrough, Laurance V.","Fantini, Alfred B.","Cronin, Fran A.","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Cronin, Fran A.","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kelly, Kathleen M.","Cronin, Fran A.","Dexter, Emily R.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Kimbrough, Laurance V.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kimbrough, Laurance V.","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kelly, Kathleen M.","Dexter, Emily R.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Kelly, Kathleen M.","Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kimbrough, Laurance V.","Nolan, Patricia M.","Dexter, Emily R.","Cronin, Fran A.","Mitros, Piotr Flawiusz","MacArthur, William","Weinstein, David J.","Crutchfield, Jake W.","Kadete, Elechi M.","Fantini, Alfred B.",skipped,skipped
"Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Manikka L.","Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Cronin, Fran A.","Kelly, Kathleen M.","Nolan, Patricia M.","Bowman, Manikka L.","Weinstein, David J.","Crutchfield, Jake W.","Dexter, Emily R.","Fantini, Alfred B.","Kadete, Elechi M.","Kimbrough, Laurance V.","MacArthur, William","Mitros, Piotr Flawiusz"
"Fantini, Alfred B.","Nolan, Patricia M.","Bowman, Manikka L.","Kimbrough, Laurance V.","MacArthur, William","Kelly, Kathleen M.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped
"Bowman, Manikka L.","Fantini, Alfred B.","Nolan, Patricia M.","Cronin, Fran A.","Crutchfield, Jake W.","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Kelly, Kathleen M.","Nolan, Patricia M.","Cronin, Fran A.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Weinstein, David J.","Crutchfield, Jake W.","Fantini, Alfred B.","Kelly, Kathleen M.","Bowman, Manikka L.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Bowman, Manikka L.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Nolan, Patricia M.","Mitros, Piotr Flawiusz","Crutchfield, Jake W.","Kadete, Elechi M.","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Kimbrough, Laurance V.","Kadete, Elechi M.","MacArthur, William","Crutchfield, Jake W.","Nolan, Patricia M.","Mitros, Piotr Flawiusz","Weinstein, David J.",skipped,skipped,skipped,skipped
"Kelly, Kathleen M.","Weinstein, David J.","Bowman, Manikka L.","Cronin, Fran A.","Mitros, Piotr Flawiusz","MacArthur, William","Crutchfield, Jake W.","Dexter, Emily R.","Fantini, Alfred B.","Kadete, Elechi M.","Nolan, Patricia M.","Kimbrough, Laurance V."
"MacArthur, William",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Cronin, Fran A.","Weinstein, David J.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Cronin, Fran A.","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kadete, Elechi M.","Fantini, Alfred B.","Weinstein, David J.","Dexter, Emily R.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Kadete, Elechi M.","Kelly, Kathleen M.","Mitros, Piotr Flawiusz","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Cronin, Fran A.","Kelly, Kathleen M.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Bowman, Manikka L.","Dexter, Emily R.","Fantini, Alfred B.","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Nolan, Patricia M.","Mitros, Piotr Flawiusz","Kadete, Elechi M.","Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Cronin, Fran A.","Dexter, Emily R.","Fantini, Alfred B.","Kimbrough, Laurance V.","Kelly, Kathleen M.","Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Mitros, Piotr Flawiusz","Bowman, Manikka L.","Fantini, Alfred B.","Kelly, Kathleen M.","Crutchfield, Jake W.",skipped,skipped,skipped,skipped,skipped,skipped
"Cronin, Fran A.","Fantini, Alfred B.","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Cronin, Fran A.","Fantini, Alfred B.","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Bowman, Manikka L.","Kelly, Kathleen M.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kadete, Elechi M.","Bowman, Manikka L.","Cronin, Fran A.","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Manikka L.","Cronin, Fran A.","Weinstein, David J.","Fantini, Alfred B.","Nolan, Patricia M.","Kelly, Kathleen M.","Dexter, Emily R.","MacArthur, William","Mitros, Piotr Flawiusz",skipped,skipped,skipped
"Bowman, Manikka L.","Kelly, Kathleen M.","Crutchfield, Jake W.","Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Bowman, Manikka L.","Dexter, Emily R.","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Cronin, Fran A.","Nolan, Patricia M.","Kimbrough, Laurance V.","Kelly, Kathleen M.","Bowman, Manikka L.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Kadete, Elechi M.","Nolan, Patricia M.","MacArthur, William","Cronin, Fran A.","Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped
"Cronin, Fran A.","Nolan, Patricia M.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Cronin, Fran A.","Nolan, Patricia M.","Kelly, Kathleen M.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Bowman, Manikka L.","Dexter, Emily R.","Fantini, Alfred B.","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Cronin, Fran A.","Kimbrough, Laurance V.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Kelly, Kathleen M.","Cronin, Fran A.","Dexter, Emily R.","MacArthur, William",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Cronin, Fran A.","Nolan, Patricia M.","Kelly, Kathleen M.","Dexter, Emily R.","Fantini, Alfred B.","Crutchfield, Jake W.",skipped,skipped,skipped,skipped,skipped,skipped
"Crutchfield, Jake W.","Mitros, Piotr Flawiusz","Kadete, Elechi M.","MacArthur, William","Nolan, Patricia M.","Weinstein, David J.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped
"Cronin, Fran A.","Nolan, Patricia M.","Kelly, Kathleen M.","Dexter, Emily R.","Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Dexter, Emily R.","MacArthur, William","Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Cronin, Fran A.","Bowman, Manikka L.","Kelly, Kathleen M.","Nolan, Patricia M.","Dexter, Emily R.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Fantini, Alfred B.","Dexter, Emily R.","Weinstein, David J.","Bowman, Manikka L.","Kimbrough, Laurance V.",skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Cronin, Fran A.","Kimbrough, Laurance V.","Bowman, Manikka L.","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Kelly, Kathleen M.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Kelly, Kathleen M.","Bowman, Manikka L.","Kadete, Elechi M.","Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Manikka L.","Nolan, Patricia M.","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Manikka L.","Nolan, Patricia M.","Kelly, Kathleen M.","Crutchfield, Jake W.","Weinstein, David J.","Cronin, Fran A.","Kimbrough, Laurance V.",skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Cronin, Fran A.","Dexter, Emily R.","Fantini, Alfred B.","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"MacArthur, William","Weinstein, David J.","Dexter, Emily R.","Kimbrough, Laurance V.","Nolan, Patricia M.","Mitros, Piotr Flawiusz","Crutchfield, Jake W.","Kadete, Elechi M.",skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Crutchfield, Jake W.","Cronin, Fran A.","Kadete, Elechi M.","Kimbrough, Laurance V.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Kimbrough, Laurance V.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Cronin, Fran A.","Bowman, Manikka L.","Dexter, Emily R.","Kelly, Kathleen M.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Kelly, Kathleen M.","Bowman, Manikka L.","Cronin, Fran A.","Dexter, Emily R.","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Manikka L.","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Weinstein, David J.","Dexter, Emily R.","Bowman, Manikka L.","Kelly, Kathleen M.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Cronin, Fran A.","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Cronin, Fran A.","Fantini, Alfred B.","Kimbrough, Laurance V.","Kadete, Elechi M.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Cronin, Fran A.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Cronin, Fran A.","Weinstein, David J.","Dexter, Emily R.","Kimbrough, Laurance V.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Crutchfield, Jake W.","Cronin, Fran A.","Weinstein, David J.","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kimbrough, Laurance V.","Crutchfield, Jake W.","Kelly, Kathleen M.","Dexter, Emily R.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Manikka L.","Dexter, Emily R.","Fantini, Alfred B.","Kelly, Kathleen M.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Crutchfield, Jake W.","Cronin, Fran A.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Mitros, Piotr Flawiusz","Kadete, Elechi M.","Weinstein, David J.","Nolan, Patricia M.","Dexter, Emily R.","Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Cronin, Fran A.","Mitros, Piotr Flawiusz","Weinstein, David J.","Bowman, Manikka L.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Manikka L.","Nolan, Patricia M.","Kelly, Kathleen M.","Cronin, Fran A.","Crutchfield, Jake W.","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped
"MacArthur, William","Crutchfield, Jake W.","Dexter, Emily R.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Cronin, Fran A.","Nolan, Patricia M.","Kelly, Kathleen M.","Dexter, Emily R.","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kimbrough, Laurance V.","Bowman, Manikka L.","Nolan, Patricia M.","Kelly, Kathleen M.","Cronin, Fran A.","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped
"Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Fantini, Alfred B.","Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Kelly, Kathleen M.","Kadete, Elechi M.","MacArthur, William","Dexter, Emily R.","Bowman, Manikka L.","Kimbrough, Laurance V.","Fantini, Alfred B.","Crutchfield, Jake W.","Weinstein, David J.","Cronin, Fran A.","Mitros, Piotr Flawiusz"
"Nolan, Patricia M.","Cronin, Fran A.","Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Cronin, Fran A.","Kimbrough, Laurance V.","Bowman, Manikka L.","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Nolan, Patricia M.","Kimbrough, Laurance V.","Kelly, Kathleen M.","Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Crutchfield, Jake W.","Dexter, Emily R.","Bowman, Manikka L.","Nolan, Patricia M.","Kelly, Kathleen M.","Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Manikka L.","Crutchfield, Jake W.","Dexter, Emily R.","MacArthur, William",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Cronin, Fran A.","Bowman, Manikka L.","Dexter, Emily R.","Kimbrough, Laurance V.","Crutchfield, Jake W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Cronin, Fran A.","Bowman, Manikka L.","Dexter, Emily R.","Kimbrough, Laurance V.","Crutchfield, Jake W.","MacArthur, William",skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Mitros, Piotr Flawiusz","Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Cronin, Fran A.","Kelly, Kathleen M.","Fantini, Alfred B.","Dexter, Emily R.","Bowman, Manikka L.","Kimbrough, Laurance V.",skipped,skipped,skipped,skipped,skipped
"Cronin, Fran A.","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Mitros, Piotr Flawiusz","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kimbrough, Laurance V.","Dexter, Emily R.","Nolan, Patricia M.","Bowman, Manikka L.","Kelly, Kathleen M.","Weinstein, David J.","Cronin, Fran A.","Crutchfield, Jake W.","Mitros, Piotr Flawiusz","Kadete, Elechi M.","MacArthur, William","Fantini, Alfred B."
"Fantini, Alfred B.","Crutchfield, Jake W.","MacArthur, William",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kelly, Kathleen M.","Fantini, Alfred B.","Nolan, Patricia M.","Dexter, Emily R.","Bowman, Manikka L.","Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped,skipped
"MacArthur, William","Dexter, Emily R.","Crutchfield, Jake W.","Mitros, Piotr Flawiusz","Weinstein, David J.","Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped
"Mitros, Piotr Flawiusz",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kimbrough, Laurance V.","Dexter, Emily R.","Bowman, Manikka L.","Kelly, Kathleen M.","Weinstein, David J.","Cronin, Fran A.","Mitros, Piotr Flawiusz","MacArthur, William","Kadete, Elechi M.","Fantini, Alfred B.","Crutchfield, Jake W.",skipped
"Nolan, Patricia M.","Dexter, Emily R.","Kadete, Elechi M.","Crutchfield, Jake W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Weinstein, David J.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Crutchfield, Jake W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kimbrough, Laurance V.","Nolan, Patricia M.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Dexter, Emily R.","Nolan, Patricia M.","Weinstein, David J.","MacArthur, William","Cronin, Fran A.","Crutchfield, Jake W.","Kelly, Kathleen M.","Bowman, Manikka L.","Fantini, Alfred B.",skipped,skipped,skipped
"Fantini, Alfred B.","Nolan, Patricia M.","Kimbrough, Laurance V.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Fantini, Alfred B.","Kimbrough, Laurance V.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Manikka L.","Cronin, Fran A.","Crutchfield, Jake W.","Mitros, Piotr Flawiusz",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kimbrough, Laurance V.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Fantini, Alfred B.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Manikka L.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Weinstein, David J.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Manikka L.","Kadete, Elechi M.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Bowman, Manikka L.","Dexter, Emily R.","Kelly, Kathleen M.","Cronin, Fran A.","Nolan, Patricia M.","Kimbrough, Laurance V.","Crutchfield, Jake W.","Fantini, Alfred B.",skipped,skipped,skipped,skipped
