rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11
"Forster, Bill","Fantini, Alfred B.","Osborne, Mervan F.","Nolan, Patricia M.","Holland, John J.","Gerber, Joyce C.","Stead, Sr., Charles Lewis","Harding, Jr., Richard","McGovern, Marc C.","Tauber, Nancy","Turkel, Alice L."
"Nolan, Patricia M.","Forster, Bill","Fantini, Alfred B.","McGovern, Marc C.","Holland, John J.",skipped,skipped,skipped,skipped,skipped,skipped
"Osborne, Mervan F.","Tauber, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Osborne, Mervan F.","Turkel, Alice L.","McGovern, Marc C.","Nolan, Patricia M.","Tauber, Nancy","Harding, Jr., Richard","Gerber, Joyce C.","Stead, Sr., Charles Lewis","Forster, Bill","Fantini, Alfred B.","Holland, John J."
"Nolan, Patricia M.","Tauber, Nancy","Turkel, Alice L.","Gerber, Joyce C.","Osborne, Mervan F.","McGovern, Marc C.","Fantini, Alfred B.","Forster, Bill","Stead, Sr., Charles Lewis","Harding, Jr., Richard","Holland, John J."
"McGovern, Marc C.","Tauber, Nancy","Osborne, Mervan F.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Turkel, Alice L.","Osborne, Mervan F.","Forster, Bill","Harding, Jr., Richard","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped
"McGovern, Marc C.","Nolan, Patricia M.","Turkel, Alice L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"McGovern, Marc C.","Tauber, Nancy","Nolan, Patricia M.","Turkel, Alice L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"McGovern, Marc C.","Nolan, Patricia M.","Osborne, Mervan F.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Osborne, Mervan F.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"McGovern, Marc C.","Tauber, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"McGovern, Marc C.","Turkel, Alice L.","Tauber, Nancy",skipped,skipped,"Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped
"Osborne, Mervan F.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","McGovern, Marc C.","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Osborne, Mervan F.","McGovern, Marc C.","Harding, Jr., Richard","Turkel, Alice L.","Nolan, Patricia M.","Tauber, Nancy","Holland, John J.","Gerber, Joyce C.","Forster, Bill",skipped,skipped
"Nolan, Patricia M.","Tauber, Nancy","Turkel, Alice L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Tauber, Nancy","Osborne, Mervan F.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Holland, John J.","Nolan, Patricia M.","Osborne, Mervan F.","Tauber, Nancy","Gerber, Joyce C.",skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","McGovern, Marc C.","Turkel, Alice L.","Tauber, Nancy","Harding, Jr., Richard","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Stead, Sr., Charles Lewis","Tauber, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Tauber, Nancy","McGovern, Marc C.","Osborne, Mervan F.","Turkel, Alice L.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Tauber, Nancy","Turkel, Alice L.","Forster, Bill","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped
"Turkel, Alice L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Tauber, Nancy","Turkel, Alice L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Osborne, Mervan F.","Nolan, Patricia M.","Tauber, Nancy","Holland, John J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Tauber, Nancy","Turkel, Alice L.","Nolan, Patricia M.","Osborne, Mervan F.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Osborne, Mervan F.","Turkel, Alice L.","Tauber, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Forster, Bill","Gerber, Joyce C.","Nolan, Patricia M.","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Tauber, Nancy","Osborne, Mervan F.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Tauber, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Forster, Bill","Turkel, Alice L.","Osborne, Mervan F.","Tauber, Nancy","Gerber, Joyce C.","Harding, Jr., Richard","McGovern, Marc C.","Holland, John J.","Fantini, Alfred B.","Stead, Sr., Charles Lewis"
"Osborne, Mervan F.","Nolan, Patricia M.","Forster, Bill","Gerber, Joyce C.","Harding, Jr., Richard","McGovern, Marc C.","Turkel, Alice L.","Fantini, Alfred B.",skipped,skipped,skipped
"Osborne, Mervan F.","Nolan, Patricia M.","Forster, Bill",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Turkel, Alice L.","Osborne, Mervan F.","McGovern, Marc C.","Fantini, Alfred B.","Holland, John J.",skipped,skipped,skipped,skipped,skipped
"Tauber, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Osborne, Mervan F.","Nolan, Patricia M.","Tauber, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Osborne, Mervan F.","McGovern, Marc C.","Turkel, Alice L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","McGovern, Marc C.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Osborne, Mervan F.","Tauber, Nancy","Turkel, Alice L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Harding, Jr., Richard","Holland, John J.","Osborne, Mervan F.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Tauber, Nancy","Turkel, Alice L.","Forster, Bill","Nolan, Patricia M.","McGovern, Marc C.","Holland, John J.","Harding, Jr., Richard","Gerber, Joyce C.","Fantini, Alfred B.",skipped,skipped
"Tauber, Nancy","Osborne, Mervan F.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Turkel, Alice L.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","McGovern, Marc C.","Turkel, Alice L.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Tauber, Nancy","McGovern, Marc C.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Tauber, Nancy","Fantini, Alfred B.","Holland, John J.","Gerber, Joyce C.","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped
"Forster, Bill","Tauber, Nancy","Turkel, Alice L.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Nolan, Patricia M.","Turkel, Alice L.","Tauber, Nancy","Harding, Jr., Richard","Osborne, Mervan F.","McGovern, Marc C.",skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Fantini, Alfred B.","Osborne, Mervan F.","Holland, John J.","Gerber, Joyce C.","Stead, Sr., Charles Lewis",skipped,skipped,skipped,skipped,skipped
"Gerber, Joyce C.","Forster, Bill","Fantini, Alfred B.","Turkel, Alice L.","McGovern, Marc C.","Stead, Sr., Charles Lewis","Tauber, Nancy","Harding, Jr., Richard","Holland, John J.","Osborne, Mervan F.",skipped
"Forster, Bill","Stead, Sr., Charles Lewis","Gerber, Joyce C.","Holland, John J.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped
"McGovern, Marc C.","Tauber, Nancy","Harding, Jr., Richard","Turkel, Alice L.","Nolan, Patricia M.","Stead, Sr., Charles Lewis","Holland, John J.",skipped,skipped,skipped,skipped
"McGovern, Marc C.","Turkel, Alice L.","Tauber, Nancy","Osborne, Mervan F.","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,skipped
"McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Gerber, Joyce C.","McGovern, Marc C.","Stead, Sr., Charles Lewis","Forster, Bill","Holland, John J.","Tauber, Nancy",skipped,skipped,skipped,skipped
"Stead, Sr., Charles Lewis","Nolan, Patricia M.","Turkel, Alice L.","McGovern, Marc C.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped
"McGovern, Marc C.","Holland, John J.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"McGovern, Marc C.","Tauber, Nancy","Harding, Jr., Richard","Fantini, Alfred B.","Osborne, Mervan F.","Holland, John J.","Forster, Bill","Gerber, Joyce C.","Turkel, Alice L.",skipped,skipped
"Osborne, Mervan F.","McGovern, Marc C.","Nolan, Patricia M.","Tauber, Nancy","Turkel, Alice L.","Forster, Bill",skipped,skipped,skipped,skipped,skipped
"Osborne, Mervan F.","Nolan, Patricia M.","Tauber, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Turkel, Alice L.","Tauber, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","McGovern, Marc C.","Tauber, Nancy","Turkel, Alice L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"McGovern, Marc C.","Fantini, Alfred B.","Tauber, Nancy","Turkel, Alice L.","Gerber, Joyce C.",skipped,skipped,skipped,skipped,skipped,skipped
"Turkel, Alice L.","Tauber, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"McGovern, Marc C.","Nolan, Patricia M.","Forster, Bill",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Turkel, Alice L.","McGovern, Marc C.","Tauber, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Turkel, Alice L.","Nolan, Patricia M.","McGovern, Marc C.","Tauber, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Osborne, Mervan F.","Turkel, Alice L.","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Fantini, Alfred B.","McGovern, Marc C.","Tauber, Nancy","Turkel, Alice L.","Holland, John J.","Harding, Jr., Richard","Stead, Sr., Charles Lewis","Forster, Bill","Osborne, Mervan F.","Gerber, Joyce C."
"Nolan, Patricia M.","McGovern, Marc C.","Osborne, Mervan F.","Forster, Bill",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Gerber, Joyce C.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Osborne, Mervan F.","Turkel, Alice L.","Nolan, Patricia M.","McGovern, Marc C.","Tauber, Nancy","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped
"Osborne, Mervan F.","Nolan, Patricia M.","Turkel, Alice L.","McGovern, Marc C.","Tauber, Nancy","Forster, Bill",skipped,skipped,skipped,skipped,skipped
"Gerber, Joyce C.","Forster, Bill","Osborne, Mervan F.","Holland, John J.","Stead, Sr., Charles Lewis",skipped,skipped,skipped,skipped,skipped,skipped
"Tauber, Nancy","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Tauber, Nancy","Turkel, Alice L.","McGovern, Marc C.","Osborne, Mervan F.","Gerber, Joyce C.",skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Tauber, Nancy","Turkel, Alice L.","McGovern, Marc C.","Osborne, Mervan F.",skipped,skipped,skipped,skipped,skipped,skipped
"Turkel, Alice L.","Forster, Bill","Nolan, Patricia M.","Tauber, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Osborne, Mervan F.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Osborne, Mervan F.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Turkel, Alice L.","McGovern, Marc C.","Tauber, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Tauber, Nancy","Osborne, Mervan F.","McGovern, Marc C.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Osborne, Mervan F.","Nolan, Patricia M.","McGovern, Marc C.","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"McGovern, Marc C.","Turkel, Alice L.","Tauber, Nancy","Nolan, Patricia M.","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,skipped
"McGovern, Marc C.","Holland, John J.","Gerber, Joyce C.","Tauber, Nancy","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped
"McGovern, Marc C.","Turkel, Alice L.","Tauber, Nancy","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"McGovern, Marc C.","Turkel, Alice L.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Tauber, Nancy","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Tauber, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","McGovern, Marc C.","Tauber, Nancy","Turkel, Alice L.","Holland, John J.","Osborne, Mervan F.",skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Tauber, Nancy","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Osborne, Mervan F.","Tauber, Nancy","Fantini, Alfred B.","Nolan, Patricia M.","Turkel, Alice L.","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped
"Turkel, Alice L.","Tauber, Nancy","Gerber, Joyce C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Osborne, Mervan F.","Nolan, Patricia M.","Fantini, Alfred B.","Tauber, Nancy","Turkel, Alice L.","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped
"Osborne, Mervan F.","Nolan, Patricia M.","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Forster, Bill","Nolan, Patricia M.","Fantini, Alfred B.","Turkel, Alice L.","Tauber, Nancy","Stead, Sr., Charles Lewis",skipped,skipped,skipped,skipped,skipped
"Osborne, Mervan F.","Nolan, Patricia M.","Tauber, Nancy","McGovern, Marc C.","Fantini, Alfred B.","Turkel, Alice L.",skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Tauber, Nancy","Osborne, Mervan F.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Tauber, Nancy","Osborne, Mervan F.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Tauber, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Osborne, Mervan F.","Turkel, Alice L.","Tauber, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"McGovern, Marc C.","Tauber, Nancy","Turkel, Alice L.","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Turkel, Alice L.","McGovern, Marc C.","Osborne, Mervan F.","Tauber, Nancy","Stead, Sr., Charles Lewis",skipped,"Nolan, Patricia M.",skipped,skipped,skipped,skipped
Write-In 1,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
Write-In 1,"Forster, Bill","Gerber, Joyce C.","Osborne, Mervan F.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Forster, Bill","Turkel, Alice L.","McGovern, Marc C.","Fantini, Alfred B.","Nolan, Patricia M.","Tauber, Nancy","Harding, Jr., Richard",skipped,skipped,skipped,skipped
"Harding, Jr., Richard","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Osborne, Mervan F.","Turkel, Alice L.",skipped,"Nolan, Patricia M.","McGovern, Marc C.","Holland, John J.","Fantini, Alfred B.","Forster, Bill","Gerber, Joyce C.",skipped,"Stead, Sr., Charles Lewis"
"Fantini, Alfred B.","Turkel, Alice L.","Tauber, Nancy",skipped,skipped,"Forster, Bill",skipped,skipped,skipped,skipped,skipped
"Tauber, Nancy","Turkel, Alice L.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Tauber, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"McGovern, Marc C.","Tauber, Nancy","Nolan, Patricia M.","Harding, Jr., Richard","Turkel, Alice L.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Nolan, Patricia M.","Tauber, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Tauber, Nancy","Turkel, Alice L.","Fantini, Alfred B.","Harding, Jr., Richard","Holland, John J.","McGovern, Marc C.","Nolan, Patricia M.",skipped,skipped,skipped,skipped
"McGovern, Marc C.","Nolan, Patricia M.","Fantini, Alfred B.","Turkel, Alice L.","Tauber, Nancy","Gerber, Joyce C.","Holland, John J.","Stead, Sr., Charles Lewis","Osborne, Mervan F.",skipped,skipped
"Turkel, Alice L.","McGovern, Marc C.","Osborne, Mervan F.","Tauber, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Turkel, Alice L.","Holland, John J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Osborne, Mervan F.","Nolan, Patricia M.","Tauber, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Osborne, Mervan F.","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Gerber, Joyce C.","Osborne, Mervan F.","Fantini, Alfred B.","Tauber, Nancy","Forster, Bill","Stead, Sr., Charles Lewis",skipped,skipped,skipped,skipped,skipped
"Tauber, Nancy","Turkel, Alice L.","Nolan, Patricia M.","McGovern, Marc C.","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,skipped
"Turkel, Alice L.","Fantini, Alfred B.","Osborne, Mervan F.","Tauber, Nancy","Harding, Jr., Richard","Holland, John J.","McGovern, Marc C.","Forster, Bill","Gerber, Joyce C.","Nolan, Patricia M.","Stead, Sr., Charles Lewis"
"Fantini, Alfred B.","Tauber, Nancy","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Harding, Jr., Richard","Tauber, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Gerber, Joyce C.","Harding, Jr., Richard","Turkel, Alice L.","McGovern, Marc C.","Nolan, Patricia M.","Tauber, Nancy",skipped,skipped,skipped,skipped,skipped
"Turkel, Alice L.","Tauber, Nancy","Osborne, Mervan F.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Turkel, Alice L.","Fantini, Alfred B.","Tauber, Nancy","McGovern, Marc C.","Harding, Jr., Richard","Holland, John J.","Forster, Bill","Gerber, Joyce C.","Osborne, Mervan F.","Stead, Sr., Charles Lewis","Nolan, Patricia M."
"Gerber, Joyce C.","McGovern, Marc C.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Turkel, Alice L.","Tauber, Nancy","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Turkel, Alice L.","Nolan, Patricia M.","Osborne, Mervan F.","Tauber, Nancy","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Osborne, Mervan F.","McGovern, Marc C.","Harding, Jr., Richard","Turkel, Alice L.","Tauber, Nancy","Fantini, Alfred B.",skipped,skipped,skipped,skipped
"Gerber, Joyce C.","Fantini, Alfred B.","Turkel, Alice L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Gerber, Joyce C.","Fantini, Alfred B.","Tauber, Nancy","Nolan, Patricia M.","Holland, John J.","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped
"Turkel, Alice L.","Osborne, Mervan F.","Holland, John J.","Forster, Bill","Gerber, Joyce C.",skipped,skipped,skipped,skipped,skipped,skipped
"Osborne, Mervan F.","Tauber, Nancy","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Nolan, Patricia M.","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Harding, Jr., Richard","Nolan, Patricia M.","Gerber, Joyce C.","Tauber, Nancy","Fantini, Alfred B.","Osborne, Mervan F.","Turkel, Alice L.","Stead, Sr., Charles Lewis","McGovern, Marc C.","Holland, John J.","Forster, Bill"
"McGovern, Marc C.","Fantini, Alfred B.","Turkel, Alice L.","Nolan, Patricia M.","Tauber, Nancy",skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Harding, Jr., Richard","Gerber, Joyce C.","Turkel, Alice L.","Fantini, Alfred B.","Tauber, Nancy",skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Tauber, Nancy","Gerber, Joyce C.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Turkel, Alice L.","Fantini, Alfred B.","Tauber, Nancy","Nolan, Patricia M.","Gerber, Joyce C.",skipped,skipped,skipped,skipped,skipped,skipped
"McGovern, Marc C.","Nolan, Patricia M.","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Turkel, Alice L.","Nolan, Patricia M.","Holland, John J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"McGovern, Marc C.","Turkel, Alice L.","Harding, Jr., Richard","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Turkel, Alice L.","Tauber, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Turkel, Alice L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Tauber, Nancy","Harding, Jr., Richard","Nolan, Patricia M.","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Nolan, Patricia M.","Stead, Sr., Charles Lewis","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","Nolan, Patricia M.","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Stead, Sr., Charles Lewis","Turkel, Alice L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Tauber, Nancy","Turkel, Alice L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Tauber, Nancy","Turkel, Alice L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","Tauber, Nancy","Gerber, Joyce C.","Turkel, Alice L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Osborne, Mervan F.","Nolan, Patricia M.","Fantini, Alfred B.","Turkel, Alice L.","McGovern, Marc C.","Tauber, Nancy","Gerber, Joyce C.","Forster, Bill","Harding, Jr., Richard","Holland, John J.","Stead, Sr., Charles Lewis"
"Fantini, Alfred B.","Holland, John J.","Tauber, Nancy","Harding, Jr., Richard",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Holland, John J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","McGovern, Marc C.","Osborne, Mervan F.","Gerber, Joyce C.","Harding, Jr., Richard","Turkel, Alice L.","Fantini, Alfred B.",skipped,skipped,skipped,skipped
"McGovern, Marc C.","Tauber, Nancy","Gerber, Joyce C.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Tauber, Nancy","Turkel, Alice L.","Osborne, Mervan F.","Gerber, Joyce C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Turkel, Alice L.","Nolan, Patricia M.","Tauber, Nancy","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Turkel, Alice L.","Osborne, Mervan F.","Nolan, Patricia M.","Tauber, Nancy",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Nolan, Patricia M.","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Fantini, Alfred B.","McGovern, Marc C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
